Date,PX_LAST,PX_VOLUME
11/9/2017,33.3678,13366877
11/10/2017,33.3488,15046120
11/13/2017,33.4626,23788112
11/14/2017,33.5384,16393325
11/15/2017,33.5195,12946990
11/16/2017,33.7091,12927777
11/17/2017,33.5289,14847477
11/20/2017,33.51,11817430
11/21/2017,33.6901,12649953
11/22/2017,33.5858,10553135
11/24/2017,33.6427,6397307
11/27/2017,33.6427,10292760
11/28/2017,33.984,12985786
11/29/2017,34.3252,15296837
11/30/2017,34.3726,22830776
12/1/2017,34.4579,18584945
12/4/2017,34.183,14086848
12/5/2017,33.7754,22320611
12/6/2017,33.7091,17379224
12/7/2017,33.6522,15807772
12/8/2017,33.8797,14901108
12/11/2017,34.3252,14362928
12/12/2017,34.676,22485913
12/13/2017,34.7328,15787247
12/14/2017,34.5622,14786943
12/15/2017,35.2637,37779932
12/18/2017,35.1973,16765145
12/19/2017,35.0172,14058532
12/20/2017,34.5622,15099152
12/21/2017,34.3537,14769378
12/22/2017,34.2589,8599248
12/26/2017,34.3252,10892371
12/27/2017,34.439,8319672
12/28/2017,34.4769,6583899
12/29/2017,34.3347,11421487
1/2/2018,34.5432,16185764
1/3/2018,34.7992,13456505
1/4/2018,34.875,12378079
1/5/2018,34.9414,12492890
1/8/2018,34.5527,18941521
1/9/2018,34.5148,16011637
1/10/2018,34.5717,17794887
1/11/2018,34.657,14328844
1/12/2018,34.638,19203657
1/16/2018,34.6949,28972241
1/17/2018,35.2447,24034478
1/18/2018,35.0646,18924552
1/19/2018,35.0172,29538600
1/22/2018,35.0077,20285144
1/23/2018,34.9035,17578034
1/24/2018,35.0077,17716499
1/25/2018,35.2921,18015415
1/26/2018,36.9795,48805858
1/29/2018,36.989,34894666
1/30/2018,35.8325,45999703
1/31/2018,35.112,34022734
2/1/2018,34.9129,28176379
2/2/2018,34.7044,24277891
2/5/2018,32.8654,40288128
2/6/2018,33.4436,53164235
2/7/2018,33.1592,29370002
2/8/2018,31.8795,43501709
2/9/2018,32.3819,47297681
2/12/2018,32.8559,36758689
2/13/2018,33.1213,20454978
2/14/2018,33.3583,23239837
2/15/2018,33.8512,21431059
2/16/2018,34.3726,26242465
2/20/2018,34.1356,25808704
2/21/2018,33.8986,24546750
2/22/2018,33.8797,22754704
2/23/2018,34.3726,17020895
2/26/2018,35.1594,24105629
2/27/2018,34.8845,22336909
2/28/2018,34.42,26907899
3/1/2018,33.7754,28731400
3/2/2018,34.0788,21130333
3/5/2018,34.2399,21176053
3/6/2018,34.0124,17081100
3/7/2018,34.0598,22239404
3/8/2018,34.6001,20537588
3/9/2018,34.8561,18311855
3/12/2018,34.7044,25210277
3/13/2018,34.8371,28046226
3/14/2018,34.4579,22180728
3/15/2018,34.676,19457602
3/16/2018,34.8655,32376925
3/19/2018,34.439,18978917
3/20/2018,34.439,19255999
3/21/2018,34.3821,18094250
3/22/2018,33.747,20962742
3/23/2018,32.6947,27880166
3/26/2018,33.2161,23649364
3/27/2018,33.1877,27357878
3/28/2018,33.4626,24999735
3/29/2018,33.6427,23533906
4/2/2018,33.2256,26872193
4/3/2018,33.8228,20254152
4/4/2018,34.2494,20882990
4/5/2018,33.8702,24460903
4/6/2018,33.3394,21146274
4/9/2018,33.6143,19409229
4/10/2018,34.0788,19884249
4/11/2018,33.9271,13168781
4/12/2018,34.4295,22597698
4/13/2018,34.4295,16863666
4/16/2018,34.6286,15116082
4/17/2018,34.439,16769973
4/18/2018,34.5906,13901830
4/19/2018,34.6286,15784274
4/20/2018,34.7234,21225750
4/23/2018,34.8845,24080746
4/24/2018,35.131,25717648
4/25/2018,34.7708,26309450
4/26/2018,34.9319,19360179
4/27/2018,35.0741,13686126
4/30/2018,34.7044,26846133
5/1/2018,33.5574,48650997
5/2/2018,33.0739,28036345
5/3/2018,32.9507,22312983
5/4/2018,33.0265,18781706
5/7/2018,33.1118,20474368
5/8/2018,33.1592,26821265
5/9/2018,33.3394,19383496
5/10/2018,33.2161,29323229
5/11/2018,33.6522,20512293
5/14/2018,33.9934,20384294
5/15/2018,33.8323,18354536
5/16/2018,33.8228,20750225
5/17/2018,33.8512,12354300
5/18/2018,33.7849,14928519
5/21/2018,33.9366,16890829
5/22/2018,33.8607,13735575
5/23/2018,34.0977,19315552
5/24/2018,34.0219,16625330
5/25/2018,33.8228,14236565
5/29/2018,33.8418,26735896
5/30/2018,34.1735,27603229
5/31/2018,34.0598,29341995
6/1/2018,34.3631,21200222
6/4/2018,34.5527,18041056
6/5/2018,34.5432,20375797
6/6/2018,34.4864,18375821
6/7/2018,34.5906,16208120
6/8/2018,34.7613,15610786
6/11/2018,34.4105,18506278
6/12/2018,34.4105,15533095
6/13/2018,34.3347,15207986
6/14/2018,34.2778,18936803
6/15/2018,34.4674,46638490
